Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
66,Tom Chambers\chambto01,PF,34,UTA,80,1838,13.4,0.512,0.06,0.376,5.5,14.8,10.2,6.8,1.1,1.2,9.3,23.1,,1.8,2.1,3.9,0.10099999999999999,,-1.6,-0.9,-2.5,-0.2,West
67,Rex Chapman\chapmre01,SG,26,WSB,60,2025,16.9,0.5720000000000001,0.191,0.23800000000000002,3.2,5.2,4.2,15.3,1.5,0.2,10.9,22.7,,4.2,-0.3,3.9,0.092,,2.7,-3.3,-0.5,0.7,East
68,Calbert Cheaney\cheanca01,SG,22,WSB,65,1604,14.0,0.508,0.033,0.231,6.3,7.6,6.9,12.9,2.0,0.4,12.3,23.4,,1.0,0.2,1.2,0.035,,-0.5,-2.3,-2.8,-0.3,East
69,Pete Chilcutt\chilcpe01,PF,25,TOT,76,1365,12.7,0.47200000000000003,0.033,0.145,10.1,19.8,14.9,9.7,1.9,1.8,13.4,17.2,,0.1,1.4,1.5,0.052000000000000005,,-2.5,0.9,-1.6,0.1,NaN
69,Pete Chilcutt\chilcpe01,PF,25,SAC,46,974,13.6,0.47700000000000004,0.003,0.159,11.0,19.6,15.2,11.2,2.2,1.8,13.8,17.6,,0.2,1.1,1.3,0.063,,-1.8,1.4,-0.4,0.4,West
69,Pete Chilcutt\chilcpe01,PF,25,DET,30,391,10.5,0.457,0.11699999999999999,0.10800000000000001,8.1,20.4,14.2,5.7,1.3,1.8,12.5,16.1,,-0.1,0.3,0.2,0.025,,-4.2,-0.4,-4.6,-0.3,East
70,Doug Christie\chrisdo01,SG,23,LAL,65,1515,13.5,0.514,0.212,0.37,6.4,10.6,8.4,13.4,3.0,1.2,17.6,22.1,,0.1,1.2,1.4,0.044000000000000004,,-0.5,0.0,-0.5,0.6,West
71,Ben Coleman\colembe01,PF,32,DET,9,77,11.6,0.491,0.0,0.32,14.2,23.4,18.7,0.0,1.3,1.7,19.7,20.2,,-0.1,0.1,0.0,-0.004,,-7.4,-5.3,-12.7,-0.2,East
72,Derrick Coleman\colemde01,PF,26,NJN,77,2778,21.4,0.534,0.1,0.469,9.8,23.5,16.5,15.6,1.2,3.2,12.5,25.3,,5.5,4.4,9.9,0.171,,2.4,2.1,4.5,4.5,East
73,Bimbo Coles\colesbi01,PG,25,MIA,76,1726,13.0,0.51,0.191,0.252,3.3,7.2,5.2,22.7,2.2,0.5,15.7,17.1,,1.8,1.4,3.2,0.08900000000000001,,-0.1,-1.0,-1.1,0.4,East
74,Marty Conlon\conloma01,C,26,TOT,30,579,15.0,0.619,0.012,0.321,10.4,16.6,13.5,8.7,0.8,0.9,14.9,16.3,,1.2,0.3,1.4,0.12,,0.5,-1.4,-1.0,0.2,NaN
74,Marty Conlon\conloma01,C,26,CHH,16,378,16.7,0.648,0.009000000000000001,0.349,10.2,15.6,13.0,10.9,0.7,1.1,15.5,16.8,,0.9,0.2,1.1,0.145,,1.6,-0.7,0.9,0.3,East
